max_depth,criterian,splitter,max_features,class_weight_o,class_weight_1,ccp_alpha,accuracy,precision,recall,f1_score,roc_auc
3,entropy,best,0.7,2,4,0.0,0.829,0.776,0.869,0.82,0.896
3,entropy,best,0.7,2,4,0.001,0.831,0.8,0.831,0.815,0.906
3,entropy,best,0.7,2,4,0.01,0.795,0.715,0.9,0.797,0.887
3,entropy,best,0.7,3,6,0.0,0.831,0.8,0.831,0.815,0.906
3,entropy,best,0.7,3,6,0.001,0.829,0.776,0.869,0.82,0.907
3,entropy,best,0.7,3,6,0.01,0.831,0.8,0.831,0.815,0.898
3,entropy,best,0.7,4,8,0.0,0.829,0.776,0.869,0.82,0.908
3,entropy,best,0.7,4,8,0.001,0.831,0.8,0.831,0.815,0.906
3,entropy,best,0.7,4,8,0.01,0.829,0.776,0.869,0.82,0.897
3,entropy,best,0.7,5,10,0.0,0.831,0.8,0.831,0.815,0.905
3,entropy,best,0.7,5,10,0.001,0.831,0.8,0.831,0.815,0.906
3,entropy,best,0.7,5,10,0.01,0.831,0.8,0.831,0.815,0.904
3,entropy,best,0.6,1,2,0.0,0.831,0.8,0.831,0.815,0.905
3,entropy,best,0.6,1,2,0.001,0.831,0.791,0.846,0.817,0.906
3,entropy,best,0.6,1,2,0.01,0.757,0.672,0.896,0.768,0.87
3,entropy,best,0.6,2,4,0.0,0.83,0.787,0.849,0.817,0.905
3,entropy,best,0.6,2,4,0.001,0.831,0.8,0.831,0.815,0.902
3,entropy,best,0.6,2,4,0.01,0.824,0.793,0.823,0.807,0.891
3,entropy,best,0.6,3,6,0.0,0.83,0.787,0.849,0.817,0.905
3,entropy,best,0.6,3,6,0.001,0.842,0.869,0.763,0.813,0.892
3,entropy,best,0.6,3,6,0.01,0.829,0.776,0.869,0.82,0.897
3,entropy,best,0.6,4,8,0.0,0.831,0.791,0.846,0.817,0.907
3,entropy,best,0.6,4,8,0.001,0.809,0.761,0.837,0.797,0.898
3,entropy,best,0.6,4,8,0.01,0.809,0.754,0.85,0.799,0.887
3,entropy,best,0.6,5,10,0.0,0.829,0.776,0.869,0.82,0.897
3,entropy,best,0.6,5,10,0.001,0.831,0.8,0.831,0.815,0.904
3,entropy,best,0.6,5,10,0.01,0.809,0.754,0.85,0.799,0.879
3,entropy,best,0.5,1,2,0.0,0.826,0.8,0.814,0.807,0.89
3,entropy,best,0.5,1,2,0.001,0.829,0.776,0.869,0.82,0.899
3,entropy,best,0.5,1,2,0.01,0.821,0.75,0.899,0.818,0.89
3,entropy,best,0.5,2,4,0.0,0.829,0.776,0.869,0.82,0.904
3,entropy,best,0.5,2,4,0.001,0.815,0.749,0.884,0.811,0.889
3,entropy,best,0.5,2,4,0.01,0.831,0.791,0.846,0.817,0.904
3,entropy,best,0.5,3,6,0.0,0.831,0.8,0.831,0.815,0.905
3,entropy,best,0.5,3,6,0.001,0.809,0.754,0.85,0.799,0.893
3,entropy,best,0.5,3,6,0.01,0.746,0.645,0.964,0.773,0.88
3,entropy,best,0.5,4,8,0.0,0.824,0.793,0.823,0.807,0.898
3,entropy,best,0.5,4,8,0.001,0.831,0.8,0.831,0.815,0.905
3,entropy,best,0.5,4,8,0.01,0.809,0.754,0.85,0.799,0.883
3,entropy,best,0.5,5,10,0.0,0.831,0.791,0.846,0.817,0.89
3,entropy,best,0.5,5,10,0.001,0.831,0.8,0.831,0.815,0.906
3,entropy,best,0.5,5,10,0.01,0.83,0.787,0.849,0.817,0.896
3,entropy,random,sqrt,1,2,0.0,0.825,0.794,0.823,0.808,0.874
3,entropy,random,sqrt,1,2,0.001,0.683,0.594,0.928,0.724,0.822
3,entropy,random,sqrt,1,2,0.01,0.776,0.691,0.905,0.784,0.877
